2018-11-01 16:28:24 status half-installed libcurl4:amd64 7.58.0-2ubuntu3.3
2018-11-01 16:28:24 status unpacked libcurl4:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:24 status unpacked libcurl4:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:24 install curl:amd64 <none> 7.58.0-2ubuntu3.5
2018-11-01 16:28:24 status half-installed curl:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:24 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 16:28:24 status unpacked curl:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:24 status unpacked curl:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:25 startup packages configure
2018-11-01 16:28:25 configure libcurl4:amd64 7.58.0-2ubuntu3.5 <none>
2018-11-01 16:28:25 status unpacked libcurl4:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:25 status half-configured libcurl4:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:25 status installed libcurl4:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:25 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-11-01 16:28:25 status half-configured libc-bin:amd64 2.27-3ubuntu1
2018-11-01 16:28:25 status installed libc-bin:amd64 2.27-3ubuntu1
2018-11-01 16:28:25 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 16:28:25 status half-configured man-db:amd64 2.8.3-2
2018-11-01 16:28:26 status installed man-db:amd64 2.8.3-2
2018-11-01 16:28:26 configure curl:amd64 7.58.0-2ubuntu3.5 <none>
2018-11-01 16:28:26 status unpacked curl:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:26 status half-configured curl:amd64 7.58.0-2ubuntu3.5
2018-11-01 16:28:26 status installed curl:amd64 7.58.0-2ubuntu3.5
2018-11-01 19:03:16 startup archives unpack
2018-11-01 19:03:16 install liberror-perl:all <none> 0.17025-1
2018-11-01 19:03:16 status half-installed liberror-perl:all 0.17025-1
2018-11-01 19:03:16 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 19:03:16 status unpacked liberror-perl:all 0.17025-1
2018-11-01 19:03:16 status unpacked liberror-perl:all 0.17025-1
2018-11-01 19:03:16 install git-man:all <none> 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:16 status half-installed git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:17 status unpacked git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:17 status unpacked git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:17 install git:amd64 <none> 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:17 status half-installed git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:18 status unpacked git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:18 status unpacked git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:18 startup packages configure
2018-11-01 19:03:18 configure git-man:all 1:2.17.1-1ubuntu0.3 <none>
2018-11-01 19:03:18 status unpacked git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:18 status half-configured git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:18 status installed git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:18 configure liberror-perl:all 0.17025-1 <none>
2018-11-01 19:03:18 status unpacked liberror-perl:all 0.17025-1
2018-11-01 19:03:18 status half-configured liberror-perl:all 0.17025-1
2018-11-01 19:03:18 status installed liberror-perl:all 0.17025-1
2018-11-01 19:03:18 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 19:03:18 status half-configured man-db:amd64 2.8.3-2
2018-11-01 19:03:24 status installed man-db:amd64 2.8.3-2
2018-11-01 19:03:24 configure git:amd64 1:2.17.1-1ubuntu0.3 <none>
2018-11-01 19:03:24 status unpacked git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:24 status unpacked git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:24 status half-configured git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 19:03:24 status installed git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:45 startup archives unpack
2018-11-01 19:04:45 install libtcl8.6:amd64 <none> 8.6.8+dfsg-3
2018-11-01 19:04:45 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-11-01 19:04:45 status half-installed libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:45 status unpacked libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:45 status unpacked libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:45 install libtk8.6:amd64 <none> 8.6.8-4
2018-11-01 19:04:45 status half-installed libtk8.6:amd64 8.6.8-4
2018-11-01 19:04:46 status unpacked libtk8.6:amd64 8.6.8-4
2018-11-01 19:04:46 status unpacked libtk8.6:amd64 8.6.8-4
2018-11-01 19:04:46 install tk8.6:amd64 <none> 8.6.8-4
2018-11-01 19:04:46 status half-installed tk8.6:amd64 8.6.8-4
2018-11-01 19:04:46 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 19:04:46 status unpacked tk8.6:amd64 8.6.8-4
2018-11-01 19:04:46 status unpacked tk8.6:amd64 8.6.8-4
2018-11-01 19:04:46 install tcl8.6:amd64 <none> 8.6.8+dfsg-3
2018-11-01 19:04:46 status half-installed tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:46 status unpacked tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:46 status unpacked tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 19:04:46 install tcl:amd64 <none> 8.6.0+9
2018-11-01 19:04:46 status half-installed tcl:amd64 8.6.0+9
2018-11-01 19:04:46 status unpacked tcl:amd64 8.6.0+9
2018-11-01 19:04:46 status unpacked tcl:amd64 8.6.0+9
2018-11-01 19:04:46 install tk:amd64 <none> 8.6.0+9
2018-11-01 19:04:46 status half-installed tk:amd64 8.6.0+9
2018-11-01 19:04:46 status unpacked tk:amd64 8.6.0+9
2018-11-01 19:04:46 status unpacked tk:amd64 8.6.0+9
2018-11-01 19:04:46 install gitk:all <none> 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:46 status half-installed gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:46 status unpacked gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:46 status unpacked gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 19:04:46 startup packages configure
2018-11-01 19:04:46 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-11-01 19:04:46 status half-configured libc-bin:amd64 2.27-3ubuntu1
